,Month,altitude,geoE,geoN
503,11.0,318.0,0.6137438608936252,1.4541032293429592
186,7.0,406.0,1.3929200607271595,0.754632114387864
155,5.0,290.0,1.579186230139281,-1.7835328156518642
1237,9.0,434.0,0.7872424239122706,0.35888914766486246
655,9.0,435.0,0.7260107446983222,0.41124513912389965
1318,6.0,2019.0,0.6539838341475432,0.272439244512352
1334,3.0,1661.0,-0.02185400111093916,-1.6237528255718627
1119,8.0,396.0,2.2870047181019713,1.2812034230379383
480,8.0,372.0,-2.2002189777367462,-1.2364628948059206
1159,4.0,372.0,-2.180600890119737,-1.2332577853388689
1221,5.0,396.0,1.8776488413897896,1.6089346712897656
627,3.0,372.0,-1.535739909545562,-0.6552990622665038
113,5.0,406.0,1.0299678293209178,1.0365584740473752
1276,9.0,1884.0,-1.31328417994228,-1.368030877379236
1040,1.0,248.0,-0.23668438786129098,1.4031560772100986
1426,6.0,2412.0,3.1801031879484603,-0.3531910792595132
1057,10.0,193.0,1.490394131607002,-1.3168019573811403
424,1.0,372.0,-2.1841229884351785,-1.2251745697049308
154,5.0,383.0,0.8425569779562787,1.1419748766285378
392,4.0,428.0,0.9303276679770791,0.7203444872870415
1290,8.0,2417.0,2.0994353723131374,0.82540868003666
1231,4.0,372.0,-2.106372668121809,-0.9566145731525201
487,7.0,379.0,-1.1533985269128149,-0.8044247049422949
1145,4.0,372.0,-2.1581651238503756,-1.0734601847672902
1050,1.0,261.0,-0.07417477158682217,1.3611022233237278
495,1.0,406.0,1.3929200607271595,0.754632114387864
383,6.0,408.0,1.0275728024664188,1.0549262167624023
322,10.0,440.0,0.7550856662922909,0.4205786996598195
324,10.0,406.0,1.3601293254104005,0.7372329487095832
323,9.0,1060.0,-1.5943652360060847,0.24632288550335363
331,9.0,406.0,1.0211801940238923,1.0272249135114553
1393,7.0,1967.0,1.4631154801539088,0.06583295732855639
85,7.0,372.0,-1.1456146896356891,-0.8759233007457564
56,9.0,372.0,-1.6597882122154095,-0.6506146715069666
712,9.0,435.0,1.20885520276219,1.0063388705008876
109,7.0,407.0,1.0241387566088624,1.0345156570244192
780,7.0,537.0,1.3459528796907483,1.0128899733676084
57,9.0,372.0,-1.6597882122154095,-0.6506146715069666
607,7.0,372.0,-1.1298180786909349,-0.8417765575775515
244,3.0,401.0,0.9973708094115077,1.084476621628956
289,8.0,407.0,1.0318521519196802,1.034427604566533
580,9.0,372.0,-1.855933867402344,-0.7411678191969664
458,9.0,435.0,1.20885520276219,1.0063388705008876
675,12.0,372.0,-2.1841229884351785,-1.2251745697049308
339,6.0,261.0,-0.07417477158682217,1.3611022233237278
1432,3.0,1894.0,0.6899444579481999,-0.1332360394601945
14,1.0,373.0,-1.1726115732235485,-0.8824039616461686
691,8.0,372.0,-2.193650264378448,-1.2334338902546411
233,5.0,396.0,2.2870047181019713,1.2812034230379383
1172,3.0,372.0,-2.193650264378448,-1.2334338902546411
163,5.0,396.0,1.8776488413897896,1.6089346712897656
1247,2.0,406.0,1.3929200607271595,0.754632114387864
416,2.0,408.0,1.0275728024664188,1.0549262167624023
1331,4.0,1644.0,0.17330546654767165,-0.5546903238859187
147,4.0,271.0,1.6222086610623974,-1.6329102811920106
647,12.0,396.0,2.2870047181019713,1.2812034230379383
466,6.0,438.0,-1.6147229642693368,-0.23333407358504057
608,7.0,373.0,-2.1878564126495466,-1.2368503256206191
704,10.0,373.0,-1.6248842179093854,-0.6484661915345474
314,7.0,447.0,1.1225285730507197,0.3764644182589153
763,1.0,373.0,-1.6248842179093854,-0.6484661915345474
1105,4.0,372.0,-2.180600890119737,-1.2332577853388689
657,9.0,372.0,-1.6597882122154095,-0.6506146715069666
98,3.0,435.0,0.7260107446983222,0.41124513912389965
30,6.0,434.0,0.7325794580566187,0.40995957323876353
245,3.0,408.0,1.4784366078260787,0.7250288780465787
81,8.0,318.0,0.6137438608936252,1.4541032293429592
129,4.0,372.0,-2.159485910718666,-1.0963538238176598
556,1.0,193.0,1.367349626957055,-1.3375647269506676
773,6.0,369.0,-2.3751616010647236,-1.2802249663752807
215,9.0,429.0,-1.1234783017231402,0.12923072700650254
592,2.0,408.0,1.0275728024664188,1.0549262167624023
459,9.0,372.0,-2.1285618875090897,-1.0210689723250987
637,2.0,408.0,1.0275728024664188,1.0549262167624023
516,6.0,273.0,1.633849195994931,-1.6209351469195097
1423,11.0,2250.0,-0.2004596066869757,-0.8723483709555833
1133,5.0,435.0,0.7260107446983222,0.41124513912389965
88,7.0,372.0,-1.1456146896356891,-0.8759233007457564
46,7.0,447.0,1.1225285730507197,0.3764644182589153
1080,9.0,566.0,0.11811418594470346,-0.30479744840534767
223,6.0,372.0,-2.1771668442621817,-1.2235191834966734
1136,6.0,558.0,0.08280515033240299,-0.33121318577115855
1116,7.0,432.0,-0.9572704822174574,0.25826279879270014
713,9.0,372.0,-2.2002189777367462,-1.2364628948059206
288,5.0,193.0,1.490394131607002,-1.3168019573811403
1333,3.0,1661.0,-0.02185400111093916,-1.6237528255718627
628,3.0,372.0,-1.535739909545562,-0.6552990622665038
699,10.0,372.0,-2.1841229884351785,-1.2251745697049308
52,3.0,193.0,1.490394131607002,-1.3168019573811403
685,2.0,429.0,-1.5095002770955226,-0.0946690629061106
1160,2.0,429.0,-1.1131937746420508,0.2898912416653644
686,2.0,429.0,-1.5095002770955226,-0.0946690629061106
1341,8.0,2101.0,0.6561323141199624,0.2722807500881571
629,3.0,372.0,-1.535739909545562,-0.6552990622665038
372,7.0,407.0,1.0241387566088624,1.0345156570244192
422,8.0,406.0,1.3601293254104005,0.7372329487095832
253,8.0,431.0,-1.4792454525658814,-0.10905683452468894
355,2.0,408.0,1.0288407578599772,1.041049149399563
74,2.0,408.0,1.0288407578599772,1.041049149399563
581,9.0,377.0,-2.1872224349527674,-1.2061200178183926
1288,8.0,2417.0,2.0994353723131374,0.82540868003666
254,5.0,386.0,-2.1982994341548308,-1.219257444534989
1060,3.0,193.0,1.490394131607002,-1.3168019573811403
26,4.0,193.0,1.490394131607002,-1.3168019573811403
151,1.0,400.0,-2.1294071911047956,-0.9895285819103204
194,2.0,372.0,-2.1841229884351785,-1.2251745697049308
305,11.0,372.0,-2.1735566934888544,-1.227305439185773
1091,3.0,193.0,1.490394131607002,-1.3168019573811403
1107,10.0,261.0,-0.07417477158682217,1.3611022233237278
77,8.0,261.0,-0.07417477158682217,1.3611022233237278
43,11.0,372.0,-2.1735566934888544,-1.227305439185773
1200,2.0,429.0,-1.5095002770955226,-0.0946690629061106
423,8.0,406.0,1.3601293254104005,0.7372329487095832
54,9.0,406.0,1.0211801940238923,1.0272249135114553
64,4.0,261.0,-0.07417477158682217,1.3611022233237278
572,11.0,407.0,1.035162924336194,1.027031198104106
187,6.0,373.0,-1.1726115732235485,-0.8824039616461686
1263,12.0,3081.0,0.033231616542564346,-1.6826423094060439
24,4.0,193.0,1.490394131607002,-1.3168019573811403
507,6.0,372.0,-2.2002189777367462,-1.2364628948059206
70,4.0,261.0,-0.07417477158682217,1.3611022233237278
753,3.0,406.0,1.3929200607271595,0.754632114387864
286,5.0,193.0,1.490394131607002,-1.3168019573811403
666,2.0,372.0,-2.1841229884351785,-1.2251745697049308
1283,7.0,1955.0,0.01403618072340862,-0.25869318145621906
271,10.0,273.0,1.633849195994931,-1.6209351469195097
341,5.0,261.0,-0.07417477158682217,1.3611022233237278
1113,5.0,261.0,-0.07417477158682217,1.3611022233237278
389,5.0,558.0,-0.17156079000877877,-0.19061102101873575
1077,1.0,193.0,1.490394131607002,-1.3168019573811403
1388,10.0,2262.0,-0.8377128548997979,-0.6224554954750122
474,5.0,396.0,1.8776488413897896,1.6089346712897656
1249,1.0,1822.0,-1.2235058938816774,-1.2078106250098044
1329,9.0,1048.0,0.3743468383930688,-0.4258871884902248
369,3.0,435.0,0.7260107446983222,0.41124513912389965
1049,1.0,408.0,1.0275728024664188,1.0549262167624023
277,1.0,408.0,1.0275728024664188,1.0549262167624023
1090,5.0,430.0,-0.9718167482602311,0.27125934157667914
313,7.0,447.0,1.1225285730507197,0.3764644182589153
6,10.0,193.0,1.490394131607002,-1.3168019573811403
1299,8.0,2070.0,0.2653202850385794,-0.5002739049123482
656,9.0,372.0,-1.6597882122154095,-0.6506146715069666
1291,8.0,2417.0,2.0994353723131374,0.82540868003666
80,8.0,261.0,-0.07417477158682217,1.3611022233237278
1128,6.0,372.0,-2.2002189777367462,-1.2364628948059206
1250,1.0,1822.0,-1.2235058938816774,-1.2078106250098044
1100,10.0,318.0,0.6137438608936252,1.4541032293429592
321,5.0,193.0,1.490394131607002,-1.3168019573811403
537,1.0,288.0,-0.28528934461438293,1.3723201064584087
1354,6.0,2101.0,0.6561323141199624,0.27129456255983353
1398,8.0,2167.0,0.3890163778768825,-0.3539307199057559
1227,8.0,273.0,1.6244980249674343,-1.6242459193360246
678,4.0,372.0,-1.6597882122154095,-0.6506146715069666
1223,5.0,434.0,0.7230345716217732,0.4133760086047417
701,10.0,372.0,-2.1841229884351785,-1.2251745697049308
42,11.0,372.0,-2.1735566934888544,-1.227305439185773
752,3.0,406.0,1.3929200607271595,0.754632114387864
447,3.0,406.0,1.4358016077176599,0.7440305984583853
1207,10.0,1558.0,2.796071198124303,-0.0048555558623535585
292,12.0,369.0,-2.3751616010647236,-1.2802249663752807
1326,11.0,1955.0,0.01403618072340862,-0.25869318145621906
491,3.0,379.0,0.7987772958953423,0.9564131268795049
551,12.0,400.0,-2.1294071911047956,-0.9895285819103204
614,6.0,434.0,0.7325794580566187,0.40995957323876353
1131,7.0,193.0,1.4177156328678686,-1.3229832399247399
667,2.0,372.0,-2.1841229884351785,-1.2251745697049308
1422,11.0,2262.0,-0.8377128548997979,-0.6224554954750122
621,4.0,372.0,-1.6597882122154095,-0.6506146715069666
1310,7.0,3081.0,0.033231616542564346,-1.6826423094060439
420,2.0,373.0,-1.1726115732235485,-0.8824039616461686
511,4.0,406.0,1.3929200607271595,0.754632114387864
789,10.0,273.0,1.633849195994931,-1.6209351469195097
534,1.0,372.0,-2.1771668442621817,-1.2235191834966734
744,5.0,409.0,0.9428487274884736,1.2958025205554433
1129,7.0,434.0,1.1500009399111635,0.12664198474465307
33,4.0,193.0,1.490394131607002,-1.3168019573811403
192,2.0,372.0,-2.1841229884351785,-1.2251745697049308
138,2.0,372.0,-2.180600890119737,-1.2332577853388689
1384,10.0,2262.0,-0.8377128548997979,-0.6224554954750122
359,5.0,408.0,1.0275728024664188,1.0549262167624023
700,10.0,372.0,-2.1841229884351785,-1.2251745697049308
1381,2.0,2884.0,0.09675265966155155,-0.5590225048139117
625,2.0,372.0,-2.180600890119737,-1.2332577853388689
1217,5.0,377.0,-2.1474579449714337,-1.201488458533587
786,1.0,406.0,1.030513754559812,1.0353961816032795
384,6.0,408.0,1.0275728024664188,1.0549262167624023
444,9.0,373.0,-2.1878564126495466,-1.2368503256206191
346,9.0,372.0,-1.1456146896356891,-0.8759233007457564
663,7.0,407.0,1.035162924336194,1.027031198104106
